

New Test 
frame3.jpg | [338, 102] | [254, 312] | [247, 522] | right 
frame4.jpg | [332, 102] | [257, 312] | [247, 522] | right 
frame5.jpg | [353, 102] | [255, 312] | [261, 522] | left 
frame6.jpg | [354, 102] | [255, 312] | [261, 522] | left 
frame7.jpg | [353, 102] | [257, 312] | [260, 522] | left 
frame8.jpg | [354, 102] | [258, 312] | [261, 522] | left 


New Test 
frame0.jpg | [148, 102] | [182, 312] | [212, 522] | forward 
frame1.jpg | [148, 102] | [183, 312] | [212, 522] | forward 
frame2.jpg | [148, 102] | [185, 312] | [215, 522] | forward 
frame3.jpg | [147, 102] | [192, 312] | [225, 522] | forward 
frame4.jpg | [147, 102] | [187, 312] | [219, 522] | forward 
frame5.jpg | [147, 102] | [185, 312] | [220, 522] | forward 
frame6.jpg | [147, 102] | [185, 312] | [214, 522] | forward 
frame7.jpg | [147, 102] | [185, 312] | [222, 522] | forward 


New Test 
frame0.jpg | [221, 102] | [272, 312] | [277, 522] | left 
frame1.jpg | [227, 102] | [273, 312] | [277, 522] | left 
frame2.jpg | [256, 102] | [273, 312] | [276, 522] | left 
frame3.jpg | [256, 102] | [272, 312] | [275, 522] | left 
frame4.jpg | [256, 102] | [273, 312] | [282, 522] | left 
frame5.jpg | [256, 102] | [274, 312] | [280, 522] | left 
frame6.jpg | [256, 102] | [273, 312] | [281, 522] | left 
frame7.jpg | [256, 102] | [274, 312] | [287, 522] | left 


New Test 
frame0.jpg | [84, 102] | [320, 312] | [273, 522] | left 
frame1.jpg | [61, 102] | [320, 312] | [273, 522] | left 
frame2.jpg | [84, 102] | [320, 312] | [275, 522] | left 
frame3.jpg | [324, 102] | [333, 312] | [299, 522] | right 
frame4.jpg | [334, 102] | [355, 312] | [341, 522] | left 
frame5.jpg | [323, 102] | [352, 312] | [331, 522] | left 
frame6.jpg | [325, 102] | [345, 312] | [326, 522] | left 
frame7.jpg | [324, 102] | [344, 312] | [333, 522] | left 
frame8.jpg | [325, 102] | [344, 312] | [338, 522] | left 


New Test 
frame0.jpg | [316, 102] | [344, 312] | [385, 522] | left 
frame1.jpg | [316, 102] | [339, 312] | [381, 522] | left 
frame2.jpg | [317, 102] | [333, 312] | [384, 522] | left 
frame3.jpg | [316, 102] | [335, 312] | [384, 522] | left 
frame4.jpg | [361, 102] | [410, 312] | [432, 522] | left 
frame5.jpg | [371, 102] | [409, 312] | [437, 522] | left 
frame6.jpg | [370, 102] | [414, 312] | [442, 522] | left 
frame7.jpg | [382, 102] | [424, 312] | [449, 522] | left 
frame8.jpg | [390, 102] | [423, 312] | [449, 522] | left 


New Test 
frame0.jpg | [22, 102] | [0, 312] | [212, 522] | forward 
frame1.jpg | [0, 102] | [0, 312] | [212, 522] | forward 
frame2.jpg | [0, 102] | [0, 312] | [212, 522] | forward 
frame3.jpg | [314, 102] | [311, 312] | [261, 522] | right 
frame4.jpg | [313, 102] | [311, 312] | [262, 522] | right 
frame5.jpg | [313, 102] | [308, 312] | [261, 522] | right 
frame6.jpg | [313, 102] | [307, 312] | [262, 522] | right 


New Test 
frame0.jpg | [154, 102] | [0, 312] | [249, 522] | forward 
frame1.jpg | [185, 102] | [0, 312] | [249, 522] | forward 
frame2.jpg | [203, 102] | [0, 312] | [249, 522] | forward 
frame3.jpg | [276, 102] | [274, 312] | [255, 522] | right 
frame4.jpg | [276, 102] | [274, 312] | [256, 522] | right 
frame5.jpg | [276, 102] | [274, 312] | [256, 522] | right 
frame6.jpg | [276, 102] | [275, 312] | [256, 522] | right 
frame7.jpg | [276, 102] | [283, 312] | [265, 522] | right 


New Test 
frame0.jpg | [186, 102] | [0, 312] | [249, 522] | forward 
frame1.jpg | [170, 102] | [0, 312] | [249, 522] | forward 
frame2.jpg | [174, 102] | [0, 312] | [249, 522] | forward 
frame3.jpg | [271, 102] | [274, 312] | [256, 522] | right 
frame4.jpg | [273, 102] | [274, 312] | [261, 522] | right 
frame5.jpg | [271, 102] | [274, 312] | [261, 522] | right 
